N°perçage;Longueur percee eprouvetteAlCFRP(mm);N(tr/min);f(mm/tr);Vc(mm/min);geo outil;D outil(mm);Ep Materiau(mm);MITIS;AmpMITIS;FreqMITIS;Aspiration;Lubrification;Niveau air ;Niveau huile ;KcFz;max Fz;minFz;moyenneFz;stdFz;kurtFz;skewFz;varFz;KcMz;max Mz;min Mz;moyenneMz;stdMz;kurtMz;skewMz;varMz;RmsVzUPA;RmsVzpiece;RmsVypiece;KcIThrust;max Ithrust;minIThrust;moyenneIThrust;stdIThrust;kurtFzIThrust;skewIThrust;varIThrust;KcITorque;max Itorque;min Itorque;moyenneITorque;stdITorque;kurtITorque;skewITorque;varITorque;AmpFz_Frot;AmpFz_passage dents;AmpFz_Fvib;AmpMz_Frot;AmpMz_passage dents;AmpMz_Fvib;AmpVzUPA_Frot;AmpVzUPA_passage dents;AmpVzUPA_Fvib;AmpVzpiece_Frot;AmpVzpiece_passage dents;AmpVzpiece_Fvib;AmpVypiece_Frot;AmpVypiece_passage dents;AmpVypiece_Fvib;defaut;alea;Materiau
11;304.92;6000;0.1;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;non;oui;20;10;407.11185719700313;467.13077860000004;-16.81925094;259.1266971058925;141.88345443193913;-1.4470782954503356;-0.2387826797244228;20130.914641540145;1.2753258324866885;5.241003665;-4.256710595;0.8117448923777774;1.923365961074949;-0.6806827707779548;-0.358838556889854;3.6993366202217617;11.394418330424303;4.8341223785608305;2.9227139190257185;0.5080952040889192;0.34;0.293;0.3234025974025971;0.016716883791276598;-0.5488468639399593;-0.9128383177925831;0.00027945420369104623;35.66276614194917;23.241999999999997;21.826;22.69935064935065;0.42819925164742495;-0.5441608117621755;-0.7399670013159392;0.18335459911141475;10.72186444 ; 4.90193646;196.51266736;0.79003682; 0.3662945; 1.1599329;0.03711615;0.14377246;1.25540392;0.06618607;0.26510188;5.50328425;0.02653377;0.04008783 ;2.41660816;0;0;0
12;332.64;6000;0.1;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;non;oui;20;10;421.922650423298;576.7130772999999;34.56971935;268.5537669944292;148.29263279559277;-1.2553911047281177;0.22820823623609002;21990.704941448515;1.3371935620455773;9.714193665;-13.14826433;0.8511237022420101;4.9969643032521285;-0.21158174990578793;-0.8417188846988388;24.969652247976033;12.070262081421701;7.347550991112095;2.9856458323006563;0.5573091480397051;0.375;0.316;0.35472727272727234;0.019879000003730697;-0.8042063343902237;-0.8109496151004855;0.0003951746411483251;38.47510227400247;25.439;23.584;24.489402597402574;0.5450241003782899;-1.0135815081304842;0.411260557614998;0.2970512699931642;11.32908356; 8.55149454;198.2456749;0.54215171; 0.1902501;3.64076662;0.0485265 ;0.13481937;1.15858292;0.03556987; 0.12489721;8.9966116;0.05265175; 0.04885328;2.08142052;0;0;0
13;360.36;6000;0.08;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;409.1555991;583.0991305;-128.2148495;208.34203104819517;208.19506148291293;-1.4263874319515653;0.06993880788908512;43345.1836258739;1.342868357267621;16.02918226;-17.93508674;0.6837885675206726;7.753586419624439;-0.7797348059814349;-0.30736834806040503;60.11810236658452;12.734653911693275;8.278223212047155;4.2537240145466235;0.4749981296524903;0.281;0.223;0.24186904761904804;0.01989840446585759;-1.0147042789190475;0.7821133129366701;0.00039594650028686125;38.098628100100996;20.019000000000002;18.75;19.399821428571425;0.4145198749929852;-1.5236967861960058;-0.05575766793502961;0.17182672676420008;9,30390847;10,21461178;285,9958527;0,82591164;0,08005104;8,03537588;0,07097579;0,12967667;0,56502114;0,01141775;0,13210046;9,82925359;0,02095813;0,04720359;1,55175607;0;0;0
14;388.08;6000;0.09;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;402.4381482;721.9483715;-293.0886785;204.92150507335793;333.2322136551062;-1.482410623541264;0.061865967739201874;111043.70821748236;1.3918954867944144;6.295264938;-4.993860562;0.7087531818757158;2.048362607517818;-0.8018682231616623;0.06329683476777996;4.1957893718771935;13.077794902315194;5.6789691697263205;4.1568758398898185;0.469480604496316;0.281;0.223;0.2390595238095241;0.016868271485337184;-0.27974847496608035;1.081467792354603;0.00028453858290303956;40.00371731567729;20.947;19.775;20.369892857142876;0.40907603846909657;-1.3867119229617986;-0.138507380431825;0.16734320524956978;7,2008117;8,18243938;463,8696535;1,18684612;0,08352835;1,69958924;0,06073509;0,12518677;1,3383249;0,02736697;0,07703593;6,24006739;0,05489858;0,03368942;2,5732918;0;0;0
15;415.8;6000;0.10;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;407.4017466;816.3461879;-345.51426210000005;207.44896934614303;379.7784350379054;-1.4792000811286026;0.08826363104049725;144231.65971984054;1.4581939766137724;5.3018134230000005;-3.717883477;0.7425123728917329;1.4962211868190016;-0.48753275553392195;0.1062520860676896;2.2386778398860616;12.89724716606476;5.956350463616101;4.305843525055301;0.5201202633449288;0.305;0.24600000000000002;0.26484523809523774;0.01829905129387533;-0.8574537405705125;0.7964435072656494;0.0003348552782558804;42.45604683350163;22.266;20.508000000000003;21.61861904761903;0.38938824137919625;0.2812331761303226;-0.6208530917646653;0.1516232025243832;6,84429273;6,99659382;518,7800989;1,12332929;0,08601947;0,18927165;0,05389829;0,14268647;1,35171371;0,02553189;0,06568086;6,21053072;0,05408981;0,02671332;2,23421786;0;0;0
16;443.52;6000;0.11;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;418.0680264;809.5394954;-439.09206460000007;212.8802390439352;407.5022433621862;-1.4844700975906708;-0.09967967983172193;166058.07834521445;1.3453393814406573;7.380521319;-5.853808581;0.6850468130295827;2.515216587748068;-0.7577545945619364;-0.04408724021773733;6.326314483283036;13.090220118923073;6.344798797632511;4.848653434011621;0.5195825384356406;0.305;0.24600000000000002;0.2645714285714282;0.017946564402085693;-0.8315123330444858;0.8343195643351732;0.0003220791738382094;37.936679385029734;20.557;17.236;19.31735714285714;0.9361831331871069;-1.19411847362685;-0.40201589905370233;0.8764388588640284;6,90722648;9,04713288;562,8971648;0,94800846;0,12133341;2,4659785;0,05783477;0,15711892;1,52486356;0,02004406;0,11039013;6,30874283;0,02699215;0,02734377;1,87968209;0;0;0
17;471.24;6000;0.12;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;415.9231513;587.6866409;-201.11183909999997;211.78806863489592;226.4620503619724;-1.4088323704345658;-0.18391784447278997;51285.06025414852;1.4771819645417315;15.3255011;-10.993388900000001;0.7521810563446496;4.392354088102372;0.257731010414592;0.4062346199987794;19.292774435269614;12.882736437473302;7.084624843391422;5.028679333905122;0.528910896644596;0.305;0.24600000000000002;0.26932142857142827;0.02061532984069424;-1.327843389930095;0.517094276745735;0.0004249918244406184;42.76544907043729;22.607;20.557;21.77616666666667;0.5638117654211454;-1.1892453017737197;-0.277757761382812;0.31788370682730877;8,00010542;9,38743243;311,903636;1,20835338;0,14565784;3,63835769;0,07175649;0,14597419;1,13686559;0,01955393;0,09930049;6,23461317;0,06905379;0,02419575;0,70630863;0;0;0
18;498.96;6000;0.13;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;414.8385646;615.6062549;-245.70087510000002;211.23579708930163;244.48376377929054;-1.437223781035278;-0.14174000393946132;59772.31075168794;1.3739318034190842;12.28563943;-11.40197457;0.6996060743009976;4.221391515268304;-0.5629305205115624;-0.16359202714612103;17.820146325179227;13.10276793961331;9.367522287995826;6.86706265693489;0.5179927430516584;0.305;0.24600000000000002;0.2637619047619045;0.017896367705516704;-0.10296912904802547;1.1210401006234498;0.0003202799770510612;39.23121703512515;20.264;19.287;19.976535714285724;0.2017187261814201;1.5718093794912944;-1.1903911608141722;0.04069044449225473;4,95115478;7,38256175;340,1624307;0,47261367;0,08491013;1,23978437;0,08425996;0,18372323;0,82376198;0,01186591;0,1132511;3,90414551;0,16288335;0,05736534;1,49206192;0;0;0
19;526.68;6000;0.14;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;440.2475924;535.9801761;-57.62283589999999;224.17407406552397;159.4380517174477;-1.357764456479873;0.20494708364884034;25420.492335455532;1.493336894072766;12.72704458;-10.97332872;0.7604071464618525;5.1616830386463946;-0.9782554064153763;0.06390278664869517;26.64297179144988;11.843429510814556;7.083043804358667;3.5034837128452163;0.6517927280888786;0.363;0.305;0.33189285714285693;0.02143019930707113;-1.7119447576446816;0.05485554608779688;0.00045925344234079194;42.72649908352974;22.217;21.045;21.75633333333334;0.33788920738292816;-1.1719389423873718;-0.4167908889525059;0.11416911646586345;10,3994669;12,98674262;205,4600304;1,9429102;0,2690907;6,00492831;0,06302406;0,13795009;1,07334031;0,01038726;0,08581729;6,47032205;0,05359927;0,03773108;0,35060644;0;0;0
20;554.4;6000;0.15;119.977423440594;Non etage ;6.365;12;oui;0.1;2.5;oui;oui;20;10;423.6901318;663.6505688999999;-273.6422111;215.74301513032913;253.07275871654736;-1.1795851008977993;-0.07561906906915128;64045.8212044038;1.5478272277051686;18.43104857;-11.72801243;0.7881536243474718;4.369976488288055;0.5555816149122359;0.6427694722280275;19.0966945081904;13.154753453142401;10.69162644568795;7.709725900271156;0.5752019975311401;0.316;0.26899999999999996;0.2928928571428565;0.0179181659568287;-1.5655740553690103;-0.4139994387587523;0.00032106067125645495;44.494819137395716;23.241999999999997;21.581999999999997;22.656761904761897;0.42539242319532533;-0.2501353911688171;-0.6050831200288361;0.18095871371199077;5,07072888;9,60527358;347,3683879;1,65563861;0,10904198;3,58094306;0,07622067;0,15435482;0,91119844;0,01882148;0,07628241;8,20274759;0,06417678;0,02310933;0,88223768;0;0;0
